Identifier_1,sample,time,temperature,material,genus,species,sample_wt_initial,sample_wt_final,amount,d13C_corrected,d15N_corrected,N_wt_percent,C_wt_percent,C/N,notes
5004,goat.005.3,5,5,dentine,Capra,hircus,2.515,0.233,0.233,-23.19,4.09,14.61,38.3,2.62,
5005,goat.010.1,10,5,dentine,Capra,hircus,2.449,0.301,0.301,-23.18,4.14,11.45,30.3,2.65,
5006,goat.010.2,10,5,dentine,Capra,hircus,2.556,0.302,0.302,-23.17,4.15,12.07,32.24,2.67,
5007,goat.010.3,10,5,dentine,Capra,hircus,2.548,0.246,0.246,-23.16,3.89,14.64,38.53,2.63,
5008,goat.015.1,15,5,dentine,Capra,hircus,2.503,0.235,0.235,-23.19,3.96,14.9,39.33,2.64,
5009,goat.015.2,15,5,dentine,Capra,hircus,2.551,0.254,0.254,-23.26,4.01,15.12,40.18,2.66,
5010,goat.015.3,15,5,dentine,Capra,hircus,2.536,0.25,0.25,-23.28,4.09,14.68,38.75,2.64,
5011,goat.020.1,20,5,dentine,Capra,hircus,2.556,0.23,0.23,-23.28,3.98,15.19,40.31,2.65,
5012,goat.020.2,20,5,dentine,Capra,hircus,2.514,0.231,0.231,-23.21,4.25,15.34,40.07,2.61,
5016,goat.020.3,20,5,dentine,Capra,hircus,2.511,0.227,0.227,-23.18,4.07,15.07,39.8,2.64,
5017,goat.025.1,25,5,dentine,Capra,hircus,2.459,0.228,0.228,-23.21,4.01,15.25,40.65,2.67,
5018,goat.025.2,25,5,dentine,Capra,hircus,2.47,0.242,0.242,-23.24,4.07,15.12,40.08,2.65,
5019,goat.025.3,25,5,dentine,Capra,hircus,2.495,0.262,0.262,-23.12,3.9,13.3,35.19,2.65,
5020,goat.030.1,30,5,dentine,Capra,hircus,2.504,0.242,0.242,-23.22,3.76,14.95,39.96,2.67,
5021,goat.030.2,30,5,dentine,Capra,hircus,2.485,0.252,0.252,-23.27,3.91,14.86,39.75,2.68,
5022,goat.030.3,30,5,dentine,Capra,hircus,2.549,0.239,0.239,-23.23,4,14.92,39.76,2.67,
5023,goat.035.1,35,5,dentine,Capra,hircus,2.536,0.232,0.232,-23.2,3.86,15.15,40.29,2.66,
5024,goat.035.2,35,5,dentine,Capra,hircus,2.537,0.236,0.236,-23.22,3.89,15.42,41.16,2.67,
